"CORRESPONDENCE TABLE and COMPARISON SUMMARY OF THE BHARTATIYA
NYAYA SANHITA, 2023 (BNS) to THE INDIAN PENAL CODE, 1860 (IPC)",,,
"BNS
Sections/ Subsecti ons",Subject,"IPC
Sections",Summary of comparison
1(1),"Short title, commencement and application.",1,"This subject is covered by six subsections of Section 1 of BNS, corresponding to five separate sections of IPC, sans separate headings thereof. In IPC, the extent of code
operation is also given, which is absent in BNS."
1(2),Commencement.,New,"By subsection 1(2) of the BNS, the power to appoint the date of commencement is delegated to the Central Government, which was absent in the IPC."
1(3),Punishment of offences committed within India.,2,"No change except ""Code"" is replaced with ""Sanhita"". Wherever the word “Code” is used in IPC, the word “Sanhita” is used in BNS; therefore, this fact will not be specifically mentioned in this table hereinafter."
1(4),"Punishment of offences committed beyond, which by law may be tried within, India.",3,"Section is included as a subsection in BNS
sans heading. “Indian laws” is replaced with “law"" and “for the time being in force in India"" is inserted."
1(5),"Short title, commencement and application- Extension of Code to extra-territorial offences.",4,"Section is included as a subsection in BNS sans heading.
In the illustration, ""Uganda"" has been replaced with ""any place outside India."""
1(6),"Short title, commencement and application-“Certain laws not to be affected by this Act”.",5,IPC section is included as a subsection in BNS sans heading.
2,Definitions.,,"In the IPC, definitions are not consolidated in a single section; instead, they are given in independent sections from Section 8 to
Section 52A in Chapter II, “General
Explanations”.  These have been conveniently organised and consolidated in a single section, i.e., Section-2, in alphabetical order as sub sections with Arabic numerals to facilitate easier reference."
2(1),act.,33,"In the IPC, Section 33 addressed both ""Act"" and ""Omission"" collectively. However, in the BNS, ""act"" and ""omission"" are separately defined in sub-sections 2(1) and 2(25) respectively."
,,,
,,,
,,,
2(2),"""animal"".",47,No change.
2(3),"""child"".",New,Definition of 'child' in section 2(3) of BNS (child- any person below the age of eighteen years.) This is a new addition.
2(4),"""Counterfeit"".",28,No change.
2(5),"""Court"".",20,"Section 2(5) of BNS excludes the illustration and uses the word ""Court"" in place of the words ""Court of Justice""."
2(6),"""Death"".",46,No change.
2(7),"""Dishonestly"".",24,Words “whoever does” and “is said to do that thing dishonestly” are excluded.
2(8),"""Document"".",29 and 29A,"Words “and includes electronic and digital record” are added.
BNS Section 2(8) incorporates both the sections 29 and 29A of IPC and adds digital records."
2(9),Fraudulently.,25,Phraseology changed but essence is same.
2(10),Gender.,8,"Word ""transgender” is added apart from genders of ""male"" and ""female""."
2(11),Good faith.,52,No change.
2(12),Government.,17,Words “Government of a State” are replaced by “State Government”.
